;Anime 2
Angel Beats!;Charlotte 
Angel Beats!;Suzumiya Haruhi no Yuuutsu 
Angel Beats!;Death Parade 
Angel Beats!;Clannad 
Angel Beats!;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Angel Beats!;Clannad: After Story 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Ano Natsu de Matteru 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Nagi no Asu kara 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Angel Beats! 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Clannad: After Story 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Shigatsu wa Kimi no Uso 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Clannad 
Bakemonogatari;Yahari Ore no Seishun Love Comedy wa Machigatteiru. 
Bakemonogatari;Yojouhan Shinwa Taikei 
Bakemonogatari;Arakawa Under the Bridge 
Bakemonogatari;xxxHOLiC 
Bakemonogatari;Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai 
Bakemonogatari;Katanagatari 
Bleach;Naruto: Shippuuden 
Bleach;Yuu_Yuu_Hakusho 
Bleach;Busou Renkin 
Bleach;D.Gray-man 
Bleach;Naruto 
Bleach;Soul Eater 
Boku dake ga Inai Machi;Orange 
Boku dake ga Inai Machi;ReLIFE 
Boku dake ga Inai Machi;Re:Zero kara Hajimeru Isekai Seikatsu 
Boku dake ga Inai Machi;"Steins;Gate "
Boku dake ga Inai Machi;Yakusoku no Neverland 
Boku dake ga Inai Machi;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Boku no Hero Academia;Ansatsu Kyoushitsu 
Boku no Hero Academia;Tiger & Bunny 
Boku no Hero Academia;One Punch Man 
Boku no Hero Academia;Hunter x Hunter 
Boku no Hero Academia;Black Clover 
Boku no Hero Academia;Naruto 
Clannad;Air 
Clannad;Little Busters! 
Clannad;Kanon (2006)
